File,aid,Date,2058,2061,2062,2066,2070,2111,2112,2116,2120,2181,2185,2189,2253,2257,2261,2318,2322,2325,2326,2330,2367,2372,2376,2380,2441,2445,2449,2513,2514,2517,2521,3094,3098,3102,3154,3354,3358,3362,3550,3554,18445,18446,18449,18450,18453,18454,18457,18458,18495,18705,18709,18713,18717,18751,18913,19482,19486,19490,19494,19742,19754,34834,34841,34842,34892,34957,34961,34965,35029,35094,35098,35101,35102,35106,35152,35217,35221,35225,35289,35293,35294,35297,36130,36134,36262,36326,36330,51221,51225,51229,51233,51263,51481,51485,51489,51493
_250m_16_days_VI_Quality_2016241_aid0001,aid0001,2016-08-28,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2016257_aid0001,aid0001,2016-09-13,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2016273_aid0001,aid0001,2016-09-29,,,,,,,863.0,39.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2016289_aid0001,aid0001,2016-10-15,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2016305_aid0001,aid0001,2016-10-31,,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2016321_aid0001,aid0001,2016-11-16,,,6.0,5.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,329.0,16.0,250.0,16.0,,,,,18.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,18.0,5.0,
_250m_16_days_VI_Quality_2016337_aid0001,aid0001,2016-12-02,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.0,,,14.0,,,,,33.0,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,10.0,17.0,
_250m_16_days_VI_Quality_2016353_aid0001,aid0001,2016-12-18,,,246.0,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,214.0,1.0,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,183.0,,,,18.0,56.0,
_250m_16_days_VI_Quality_2017001_aid0001,aid0001,2017-01-01,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,915.0,,,2.0,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
_250m_16_days_VI_Quality_2017017_aid0001,aid0001,2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.0,6.0,,,,,,,119.0,28.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017033_aid0001,aid0001,2017-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920.0,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,
_250m_16_days_VI_Quality_2017049_aid0001,aid0001,2017-02-18,195.0,,50.0,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,31.0,13.0,,46.0,,,,,,59.0,,,,,,,,,,,,32.0,,,,,,,,104.0,,,,,,,,,,,,,,,,,,240.0,,,,,80.0,17.0,,
_250m_16_days_VI_Quality_2017065_aid0001,aid0001,2017-03-06,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.0,,464.0,,,,,,,,8.0,,,,,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017081_aid0001,aid0001,2017-03-22,258.0,,,,,,,,,,,,,,,101.0,,,,,,,,,39.0,,,110.0,37.0,,,127.0,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,11.0,,,,,,6.0,,,183.0,,12.0,,17.0,,,24.0,,,,,,,,,,
_250m_16_days_VI_Quality_2017097_aid0001,aid0001,2017-04-07,58.0,,65.0,,,,,,,65.0,120.0,,139.0,187.0,,,,,,,,,,,,22.0,,212.0,,6.0,,18.0,12.0,,,10.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,17.0,,6.0,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017113_aid0001,aid0001,2017-04-23,57.0,,10.0,,,,,,,722.0,64.0,,,,,,,,,,,,,,67.0,22.0,,,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017129_aid0001,aid0001,2017-05-09,,,,,,,883.0,,,35.0,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017145_aid0001,aid0001,2017-05-25,,,,,,,771.0,,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017161_aid0001,aid0001,2017-06-10,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017177_aid0001,aid0001,2017-06-26,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017193_aid0001,aid0001,2017-07-12,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
